,leiden_0.5,leiden_1,leiden_2,perturbation,UMAP1,UMAP2
E7.5:injection5:clone_213,2,0,2,NA,9.176017,-3.773353
E7.5:injection5:clone_214,4,5,5,NA,14.531702,3.553112
E7.5:injection5:clone_215,2,0,2,NA,10.468134,-4.845365
E7.5:injection5:clone_216,0,1,0,NA,-5.119989,3.2179816
E7.5:injection5:clone_218,1,4,16,NA,10.23409,-1.6663247
E7.5:injection5:clone_219,2,0,2,NA,10.654148,-4.682933
E7.5:injection5:clone_22,5,6,4,NA,14.464251,-3.1539814
E7.5:injection5:clone_220,2,0,2,NA,9.936056,-3.2948494
E7.5:injection5:clone_222,4,5,12,NA,13.042036,1.2214991
E7.5:injection5:clone_225,5,8,19,NA,12.839427,-1.521389
E7.5:injection5:clone_227,1,3,7,NA,9.534034,1.8424598
E7.5:injection5:clone_228,1,4,16,NA,10.219066,-0.44254336
E7.5:injection5:clone_229,2,0,16,NA,9.708771,-2.7125814
E7.5:injection5:clone_230,9,13,20,NA,14.702633,-16.648537
E7.5:injection5:clone_231,3,2,3,NA,7.286955,-8.067335
E7.5:injection5:clone_232,5,8,19,NA,13.123559,-2.3450918
E7.5:injection5:clone_233,2,0,2,NA,9.470033,-5.7889667
E7.5:injection5:clone_235,2,0,2,NA,10.910664,-4.238525
E7.5:injection5:clone_236,5,8,19,NA,12.81291,-1.177945
E7.5:injection5:clone_237,1,8,10,NA,12.001398,-2.2298684
E7.5:injection5:clone_238,1,8,10,NA,11.018969,-1.279804
E7.5:injection5:clone_239,2,0,2,NA,10.037241,-3.3045757
E7.5:injection5:clone_24,1,3,7,NA,9.898632,0.727422
E7.5:injection5:clone_240,3,2,3,NA,10.220859,-7.7334166
E7.5:injection5:clone_243,1,4,16,NA,9.913526,-0.71267027
E7.5:injection5:clone_246,1,8,10,NA,11.441963,-2.520554
E7.5:injection5:clone_247,1,4,16,NA,8.765686,-2.3840265
E7.5:injection5:clone_25,0,1,0,NA,-5.491266,2.8697958
E7.5:injection5:clone_250,2,0,2,NA,10.906789,-5.887064
E7.5:injection5:clone_252,9,13,20,NA,14.646289,-16.493544
E7.5:injection5:clone_253,4,5,12,NA,14.212828,0.8364625
E7.5:injection5:clone_254,1,4,1,NA,9.165193,-2.0262165
E7.5:injection5:clone_255,2,0,2,NA,9.747001,-5.486066
E7.5:injection5:clone_256,1,8,16,NA,10.306348,-2.500326
E7.5:injection5:clone_257,2,0,2,NA,10.220751,-6.0553083
E7.5:injection5:clone_258,1,4,16,NA,10.695248,-0.55307186
E7.5:injection5:clone_26,3,2,3,NA,7.4326863,-7.970922
E7.5:injection5:clone_261,3,2,3,NA,7.7962337,-8.32164
E7.5:injection5:clone_262,2,0,16,NA,9.558752,-2.7425337
E7.5:injection5:clone_263,3,2,3,NA,9.824134,-7.3250194
E7.5:injection5:clone_264,3,2,3,NA,9.119332,-8.643198
E7.5:injection5:clone_265,1,8,10,NA,11.281884,-1.7961293
E7.5:injection5:clone_266,0,7,13,NA,-2.901349,-0.20255835
E7.5:injection5:clone_268,3,2,3,NA,9.65523,-8.866501
E7.5:injection5:clone_269,1,4,16,NA,10.741394,-0.9074703
E7.5:injection5:clone_27,3,2,3,NA,7.1579347,-9.028923
E7.5:injection5:clone_270,5,8,19,NA,13.26478,-1.8754237
E7.5:injection5:clone_272,5,6,22,NA,14.631237,-2.1825726
E7.5:injection5:clone_273,7,14,23,NA,-6.779493,-2.6736178
E7.5:injection5:clone_274,9,13,20,NA,14.782698,-16.755142
E7.5:injection5:clone_276,5,6,22,NA,14.741236,-2.7521384
E7.5:injection5:clone_278,2,0,2,NA,9.99599,-4.0038753
E7.5:injection5:clone_279,3,2,3,NA,7.3478985,-8.426003
E7.5:injection5:clone_28,3,2,3,NA,9.849512,-8.821302
E7.5:injection5:clone_281,1,8,10,NA,11.747073,-1.7248802
E7.5:injection5:clone_282,1,3,16,NA,10.975205,0.036509357
E7.5:injection5:clone_284,5,6,22,NA,14.90156,-2.2366114
E7.5:injection5:clone_286,1,8,10,NA,11.785175,-1.5759062
E7.5:injection5:clone_287,5,6,22,NA,13.96822,-2.0800982
E7.5:injection5:clone_288,1,8,10,NA,10.527036,-1.189378
E7.5:injection5:clone_289,5,6,22,NA,14.300399,-2.348201
E7.5:injection5:clone_29,3,2,3,NA,7.656237,-8.286258
E7.5:injection5:clone_291,1,3,16,NA,10.223174,-0.0039716745
E7.5:injection5:clone_292,1,4,16,NA,9.655438,-1.734642
E7.5:injection5:clone_293,4,5,12,NA,14.009902,0.76565117
E7.5:injection5:clone_294,2,0,8,NA,9.232084,-6.7478046
E7.5:injection5:clone_295,0,1,0,NA,-5.47059,2.6770618
E7.5:injection5:clone_296,5,6,4,NA,14.200365,-3.5304244
E7.5:injection5:clone_297,4,5,12,NA,14.026947,0.71457696
E7.5:injection5:clone_298,5,6,4,NA,13.611938,-3.9956777
E7.5:injection5:clone_299,1,3,7,NA,11.0694275,0.5708107
E7.5:injection5:clone_3,3,2,3,NA,8.121801,-7.478053
E7.5:injection5:clone_30,1,4,16,NA,9.781504,-1.3684845
E7.5:injection5:clone_301,7,10,15,NA,-4.734759,-1.9096847
E7.5:injection5:clone_302,4,5,5,NA,14.47033,3.5047808
E7.5:injection5:clone_303,2,0,2,NA,9.845419,-6.1479735
E7.5:injection5:clone_304,1,4,10,NA,10.180202,-2.2432053
E7.5:injection5:clone_305,3,2,3,NA,8.7656765,-7.5581803
E7.5:injection5:clone_308,5,6,22,NA,14.5939045,-1.6401689
E7.5:injection5:clone_31,5,8,19,NA,12.886446,-2.361704
E7.5:injection5:clone_310,1,4,16,NA,9.766611,-1.9943213
E7.5:injection5:clone_311,1,4,16,NA,10.37683,-0.61103225
E7.5:injection5:clone_312,5,6,4,NA,13.380489,-3.3680403
E7.5:injection5:clone_314,9,13,20,NA,15.071548,-16.46097
E7.5:injection5:clone_317,1,3,7,NA,9.200374,1.5191745
E7.5:injection5:clone_318,1,3,7,NA,9.104708,1.4366183
E7.5:injection5:clone_319,7,10,15,NA,-4.64219,-0.88714063
E7.5:injection5:clone_32,2,0,2,NA,10.893241,-5.7538953
E7.5:injection5:clone_320,1,3,7,NA,11.112129,0.5866304
E7.5:injection5:clone_321,1,4,16,NA,10.561651,-0.8262104
E7.5:injection5:clone_323,2,0,2,NA,10.163266,-4.4864225
E7.5:injection5:clone_324,1,3,7,NA,8.87758,1.7612234
E7.5:injection5:clone_325,1,8,10,NA,10.797067,-1.5553511
E7.5:injection5:clone_326,1,4,16,NA,10.490019,-1.151338
E7.5:injection5:clone_328,3,2,6,NA,7.2225347,-9.1387825
E7.5:injection5:clone_33,1,8,10,NA,10.931076,-0.7451338
E7.5:injection5:clone_331,1,4,16,NA,9.768208,-2.4202075
E7.5:injection5:clone_333,1,3,7,NA,8.576096,1.8410702
E7.5:injection5:clone_335,3,2,3,NA,7.3568425,-7.954154
E7.5:injection5:clone_338,0,1,0,NA,-3.318476,2.461964
E7.5:injection5:clone_34,4,5,5,NA,14.446669,3.71552
E7.5:injection5:clone_340,2,0,16,NA,9.896865,-2.7299638
E7.5:injection5:clone_344,5,8,19,NA,12.506648,-1.8933806
E7.5:injection5:clone_348,2,0,2,NA,10.505587,-6.3889565
E7.5:injection5:clone_349,2,0,2,NA,9.960394,-5.4881954
E7.5:injection5:clone_35,1,3,7,NA,8.783302,1.8562498
E7.5:injection5:clone_350,1,3,7,NA,9.5789795,1.6083217
E7.5:injection5:clone_351,0,1,0,NA,-4.5453677,2.3926888
E7.5:injection5:clone_352,1,3,7,NA,9.429929,1.3497251
E7.5:injection5:clone_353,3,2,3,NA,9.275568,-7.7640944
E7.5:injection5:clone_354,3,2,3,NA,8.992957,-9.688936
E7.5:injection5:clone_356,1,3,7,NA,8.33173,1.2719697
E7.5:injection5:clone_358,5,8,19,NA,13.050548,-1.4088308
E7.5:injection5:clone_36,1,8,10,NA,11.575746,-1.6239074
E7.5:injection5:clone_360,4,5,12,NA,13.9358425,0.74545985
E7.5:injection5:clone_361,5,6,22,NA,14.822677,-1.7244632
E7.5:injection5:clone_364,5,6,4,NA,12.199233,-5.0554576
E7.5:injection5:clone_365,1,3,7,NA,8.904852,1.6255593
E7.5:injection5:clone_366,1,4,1,NA,8.671489,-0.97298527
E7.5:injection5:clone_367,1,4,16,NA,9.869281,-1.057845
E7.5:injection5:clone_368,1,8,10,NA,11.48643,-2.0633245
E7.5:injection5:clone_369,1,4,16,NA,10.132891,-1.1505703
E7.5:injection5:clone_373,1,3,7,NA,8.852002,2.203862
E7.5:injection5:clone_374,1,4,16,NA,10.037857,-0.26073965
E7.5:injection5:clone_375,5,8,19,NA,12.562831,-2.087623
E7.5:injection5:clone_376,7,10,15,NA,-4.608985,-2.0658002
E7.5:injection5:clone_377,1,3,7,NA,9.158576,1.4033916
E7.5:injection5:clone_378,1,3,7,NA,11.154868,0.7767553
E7.5:injection5:clone_38,3,2,3,NA,9.077355,-8.319213
E7.5:injection5:clone_381,1,8,10,NA,10.584076,-2.2826555
E7.5:injection5:clone_382,7,10,15,NA,-4.9506693,-1.9684273
E7.5:injection5:clone_383,2,0,2,NA,9.602259,-3.097939
E7.5:injection5:clone_385,2,0,2,NA,10.658899,-6.2146177
E7.5:injection5:clone_386,9,13,20,NA,15.318189,-16.445892
E7.5:injection5:clone_388,3,2,3,NA,10.176547,-7.8817043
E7.5:injection5:clone_39,3,2,3,NA,8.774021,-10.185157
E7.5:injection5:clone_391,1,3,7,NA,9.363129,0.67565036
E7.5:injection5:clone_392,1,8,10,NA,12.157311,-2.097268
E7.5:injection5:clone_394,3,2,3,NA,9.773311,-7.340436
E7.5:injection5:clone_397,2,0,2,NA,11.073281,-4.381716
E7.5:injection5:clone_40,1,3,7,NA,9.193824,1.5054835
E7.5:injection5:clone_400,9,13,20,NA,14.90454,-16.557306
E7.5:injection5:clone_403,1,4,1,NA,8.962976,-0.57126176
E7.5:injection5:clone_405,5,6,22,NA,14.977289,-2.8353198
E7.5:injection5:clone_406,7,10,15,NA,-4.8007727,-1.2643074
E7.5:injection5:clone_407,1,4,16,NA,10.3956995,-0.5452055
E7.5:injection5:clone_408,3,2,3,NA,9.494662,-7.541945
E7.5:injection5:clone_409,9,13,20,NA,14.993669,-16.849247
E7.5:injection5:clone_41,5,6,4,NA,13.974673,-3.0778813
E7.5:injection5:clone_412,2,0,2,NA,9.738997,-4.86625
E7.5:injection5:clone_414,5,6,4,NA,14.109033,-4.22454
E7.5:injection5:clone_415,1,4,16,NA,9.280841,-2.0241115
E7.5:injection5:clone_416,9,13,20,NA,15.322865,-16.91122
E7.5:injection5:clone_417,1,4,16,NA,9.088502,-0.74598473
E7.5:injection5:clone_419,2,0,2,NA,10.703798,-5.123112
E7.5:injection5:clone_42,3,2,3,NA,9.502167,-7.7049484
E7.5:injection5:clone_421,9,13,20,NA,14.857087,-16.816673
E7.5:injection5:clone_424,1,8,10,NA,10.646096,-1.9633121
E7.5:injection5:clone_426,0,7,13,NA,-3.0157895,1.6376791
E7.5:injection5:clone_429,0,7,14,NA,-4.9679646,0.7192793
E7.5:injection5:clone_43,2,0,2,NA,10.065937,-5.1755505
E7.5:injection5:clone_431,1,3,7,NA,8.824052,1.2055117
E7.5:injection5:clone_432,0,1,0,NA,-5.1365185,2.619621
E7.5:injection5:clone_434,9,13,20,NA,15.352423,-16.581417
E7.5:injection5:clone_435,4,5,5,NA,14.689088,3.6246562
E7.5:injection5:clone_436,2,0,8,NA,9.632313,-6.4920864
E7.5:injection5:clone_438,3,2,3,NA,7.96875,-7.9621615
E7.5:injection5:clone_439,1,4,16,NA,10.005181,-0.95042944
E7.5:injection5:clone_44,2,0,2,NA,10.478611,-5.2187467
E7.5:injection5:clone_440,0,7,14,NA,-5.052747,1.6384579
E7.5:injection5:clone_442,2,0,2,NA,10.118939,-5.2440977
E7.5:injection5:clone_443,2,0,2,NA,9.5463,-3.6241543
E7.5:injection5:clone_444,1,3,7,NA,9.052435,1.5315197
E7.5:injection5:clone_445,1,8,10,NA,12.0252,-1.6125116
E7.5:injection5:clone_45,3,2,3,NA,7.5617356,-8.401761
E7.5:injection5:clone_451,1,4,16,NA,10.456152,-1.114357
E7.5:injection5:clone_454,0,1,0,NA,-5.5076127,2.418238
E7.5:injection5:clone_457,9,13,20,NA,14.997047,-16.852467
E7.5:injection5:clone_459,5,8,19,NA,12.253475,-2.6431923
E7.5:injection5:clone_46,4,9,11,NA,13.174958,3.5928624
E7.5:injection5:clone_461,1,4,16,NA,10.298207,-1.0786526
E7.5:injection5:clone_462,5,8,19,NA,13.189741,-2.3118036
E7.5:injection5:clone_467,1,3,7,NA,10.43894,0.33721486
E7.5:injection5:clone_468,3,2,3,NA,7.1037073,-8.194153
E7.5:injection5:clone_469,1,4,16,NA,10.768506,-0.5054944
E7.5:injection5:clone_47,1,3,7,NA,10.34952,1.0775547
E7.5:injection5:clone_475,0,7,14,NA,-4.837013,0.27611
E7.5:injection5:clone_476,1,8,10,NA,11.206014,-0.97810924
E7.5:injection5:clone_477,1,3,7,NA,10.302578,0.46355823
E7.5:injection5:clone_478,5,6,22,NA,14.195948,-2.074579
E7.5:injection5:clone_479,1,8,10,NA,11.786245,-1.0211028
E7.5:injection5:clone_48,1,4,16,NA,10.441607,-0.8805836
E7.5:injection5:clone_480,1,4,16,NA,10.505377,-0.064314574
E7.5:injection5:clone_482,1,8,10,NA,10.987769,-1.5335484
E7.5:injection5:clone_485,9,13,20,NA,15.294555,-16.584892
E7.5:injection5:clone_486,1,3,7,NA,8.911689,0.7926685
E7.5:injection5:clone_488,7,10,15,NA,-4.4540873,-2.7032073
E7.5:injection5:clone_49,3,2,3,NA,8.611159,-8.956641
E7.5:injection5:clone_490,9,13,20,NA,15.076922,-17.070612
E7.5:injection5:clone_491,0,1,0,NA,-5.3406525,2.1606996
E7.5:injection5:clone_492,1,3,7,NA,9.17324,1.7119418
E7.5:injection5:clone_499,7,14,23,NA,-6.7766395,-2.7336967
E7.5:injection5:clone_5,3,2,3,NA,7.480289,-8.492215
