,leiden_0.5,leiden_1,leiden_2,UMAP1,UMAP2
E7.5:injection5:clone_594,0,8,1,12.279013,-0.4723081
E7.5:injection5:clone_6,2,0,6,0.22671741,3.169531
E7.5:injection5:clone_60,3,1,4,14.457834,2.0619915
E7.5:injection5:clone_601,1,2,8,10.261685,-1.3059181
E7.5:injection5:clone_602,0,3,4,15.1941185,0.804788
E7.5:injection5:clone_605,4,10,11,11.705009,-5.214164
E7.5:injection5:clone_61,1,2,10,7.9366393,-1.291373
E7.5:injection5:clone_615,6,9,9,-1.8694942,1.121486
E7.5:injection5:clone_617,0,8,1,11.501771,-0.63112295
E7.5:injection5:clone_619,1,2,8,8.481386,-2.9068904
E7.5:injection5:clone_62,0,3,1,12.948694,-0.19243777
E7.5:injection5:clone_620,0,3,4,14.662471,1.0020244
E7.5:injection5:clone_621,2,0,6,-0.27044398,2.8243515
E7.5:injection5:clone_625,0,8,1,11.078782,-0.8398546
E7.5:injection5:clone_629,5,7,5,10.476126,-4.9186435
E7.5:injection5:clone_632,0,8,1,10.960191,-0.8844982
E7.5:injection5:clone_634,3,1,7,15.895735,2.3716211
E7.5:injection5:clone_638,1,2,10,8.040275,-0.9071524
E7.5:injection5:clone_639,6,9,9,-0.9894757,2.2174733
E7.5:injection5:clone_64,1,6,12,11.42048,-3.0394166
E7.5:injection5:clone_643,2,0,6,-0.52854586,3.2758439
E7.5:injection5:clone_645,1,2,10,7.3754225,-1.562946
E7.5:injection5:clone_65,6,9,9,-1.1746432,1.4322828
E7.5:injection5:clone_654,0,8,1,12.510366,-0.67398953
E7.5:injection5:clone_659,2,0,6,-0.48551276,3.4987552
E7.5:injection5:clone_66,0,3,4,13.879168,-0.30895758
E7.5:injection5:clone_665,7,11,14,2.7013862,8.895877
E7.5:injection5:clone_668,1,6,13,11.847188,-4.06489
E7.5:injection5:clone_67,0,3,4,14.855165,1.7819518
E7.5:injection5:clone_677,1,2,10,8.484008,-0.9248477
E7.5:injection5:clone_679,5,5,0,13.836266,-4.998572
E7.5:injection5:clone_68,1,2,8,9.435545,-2.1465285
E7.5:injection5:clone_689,5,5,0,13.621001,-5.4879017
E7.5:injection5:clone_69,2,0,6,-0.7577896,3.5685089
E7.5:injection5:clone_696,4,10,11,11.320832,-5.993036
E7.5:injection5:clone_7,6,9,18,-0.6389022,-0.78412837
E7.5:injection5:clone_70,3,1,15,15.16056,4.0983276
E7.5:injection5:clone_703,1,6,12,10.571522,-2.2737124
E7.5:injection5:clone_72,3,1,7,14.485026,2.2148209
E7.5:injection5:clone_727,1,6,13,13.004649,-3.384079
E7.5:injection5:clone_73,1,2,10,7.9380674,-1.5667347
E7.5:injection5:clone_730,7,11,14,2.7391822,9.248571
E7.5:injection5:clone_737,0,8,1,11.303373,-1.2428952
E7.5:injection5:clone_74,1,6,12,11.591038,-2.9549086
E7.5:injection5:clone_741,0,8,1,12.632699,0.1835874
E7.5:injection5:clone_743,5,5,0,14.382752,-5.5386543
E7.5:injection5:clone_744,1,2,8,9.107862,-2.784769
E7.5:injection5:clone_745,0,3,1,13.112096,-0.47394145
E7.5:injection5:clone_747,2,0,6,-0.43815973,3.3843572
E7.5:injection5:clone_75,3,1,15,14.611334,4.3024144
E7.5:injection5:clone_757,0,8,1,12.226546,0.6092557
E7.5:injection5:clone_76,5,5,0,13.871727,-4.7011204
E7.5:injection5:clone_760,1,6,13,11.5414095,-4.664516
E7.5:injection5:clone_764,1,6,13,12.132491,-3.6016424
E7.5:injection5:clone_77,0,8,1,12.627881,0.43620825
E7.5:injection5:clone_773,1,2,10,8.085083,-1.1500905
E7.5:injection5:clone_777,1,2,8,9.483946,-2.73597
E7.5:injection5:clone_78,1,6,13,12.700614,-3.2714713
E7.5:injection5:clone_789,0,8,1,11.4670925,-0.6486433
E7.5:injection5:clone_79,1,6,13,12.938086,-3.5209005
E7.5:injection5:clone_8,3,1,7,15.05731,2.2955172
E7.5:injection5:clone_801,2,0,6,0.5556123,3.9903455
E7.5:injection5:clone_805,7,11,14,2.025436,8.987139
E7.5:injection5:clone_808,0,8,1,12.27756,-0.18407929
E7.5:injection5:clone_83,0,3,4,14.796437,1.922255
E7.5:injection5:clone_830,1,2,10,8.963055,-0.6612904
