,leiden_0.5,leiden_1,leiden_2,perturbation,UMAP1,UMAP2
E7.5:injection10:clone_618,1,0,11,Lgr4,13.999118,8.191099
E7.5:injection10:clone_619,1,0,9,EGFP-1,13.223316,6.528937
E7.5:injection10:clone_620,0,2,6,Lrp2,10.554257,10.950659
E7.5:injection10:clone_621,1,0,10,Fzd2,13.412841,6.889325
E7.5:injection10:clone_622,2,1,0,Lrp2,12.507333,-0.869417
E7.5:injection10:clone_623,4,3,13,Fgfr1,13.4639635,5.030883
E7.5:injection10:clone_624,4,3,13,multi_gRNA,13.244359,3.8093884
E7.5:injection10:clone_625,1,0,2,Fzd2,12.418895,8.001426
E7.5:injection10:clone_626,0,2,7,Fgfr1,9.277744,10.986857
E7.5:injection10:clone_627,1,0,11,Acvr2a,14.528303,6.769002
E7.5:injection10:clone_629,4,3,5,Lgr4,12.6369705,3.8151875
E7.5:injection10:clone_630,0,2,6,multi_gRNA,10.458134,9.968122
E7.5:injection10:clone_631,1,0,11,EGFP-1,13.842397,8.088465
E7.5:injection10:clone_632,0,5,3,Acvr2a,7.711755,11.114071
E7.5:injection10:clone_635,4,0,9,Lgr4,13.571452,5.706715
E7.5:injection10:clone_637,4,3,5,Fzd2,13.022961,5.2590904
E7.5:injection10:clone_639,1,0,2,Fzd2,12.953912,7.902041
E7.5:injection10:clone_640,4,3,13,Fzd2,13.93665,4.0422344
E7.5:injection10:clone_641,1,0,9,Acvr2a,13.342929,6.439032
E7.5:injection10:clone_642,0,2,7,Lgr4,9.462405,11.250978
E7.5:injection10:clone_643,1,0,10,EGFP-1,12.561762,5.8708124
E7.5:injection10:clone_644,1,0,2,Lgr4,13.12599,8.238142
E7.5:injection10:clone_645,1,0,9,multi_gRNA,12.73611,6.907203
E7.5:injection10:clone_646,1,0,2,Acvr2a,12.356271,7.9480677
E7.5:injection10:clone_647,0,5,3,Lgr4,6.8709946,10.662714
E7.5:injection10:clone_648,4,3,5,Lgr4,12.814422,5.007797
E7.5:injection10:clone_650,4,3,5,Lrp2,12.351037,5.752114
E7.5:injection10:clone_651,1,0,2,Fzd2,11.657842,8.756556
E7.5:injection10:clone_653,4,3,5,EGFP-1,12.231476,4.3001513
E7.5:injection10:clone_654,4,3,13,Fgfr1,13.356288,3.4001498
E7.5:injection10:clone_655,4,3,13,Fgfr1,12.675081,3.3488994
E7.5:injection10:clone_656,1,0,9,Lgr4,12.886912,7.23943
E7.5:injection10:clone_658,1,0,9,Lrp2,13.090033,6.6159444
E7.5:injection10:clone_659,4,3,13,Lrp2,13.620598,5.5330935
E7.5:injection10:clone_660,1,0,11,Lrp2,14.4101715,8.098955
E7.5:injection10:clone_661,2,1,1,multi_gRNA,11.480948,0.8124021
E7.5:injection10:clone_662,3,13,19,multi_gRNA,-2.0604386,5.64741
E7.5:injection10:clone_664,5,6,15,Lgr4,9.179079,3.3623312
E7.5:injection10:clone_665,4,3,5,multi_gRNA,12.0572,4.032194
E7.5:injection10:clone_667,1,0,2,Fzd2,12.958336,7.646181
E7.5:injection10:clone_669,1,0,9,Fzd2,12.801835,7.1173778
E7.5:injection10:clone_670,1,0,2,Lgr4,13.162476,8.490371
E7.5:injection10:clone_671,0,2,7,Fgfr1,8.617537,10.878935
E7.5:injection10:clone_672,4,3,13,Lgr4,13.303836,5.0062804
E7.5:injection10:clone_673,1,0,2,Acvr2a,12.652672,8.114189
E7.5:injection10:clone_675,1,0,2,Lgr4,12.896994,8.62042
E7.5:injection10:clone_676,1,0,2,Acvr2a,11.885672,9.154422
E7.5:injection10:clone_678,1,0,9,EGFP-1,13.7101965,8.333076
E7.5:injection10:clone_679,0,2,7,Fgfr1,9.614678,10.896221
E7.5:injection10:clone_680,4,3,5,Fzd2,12.838891,4.921643
E7.5:injection10:clone_682,4,3,13,Lrp2,13.2931385,4.4583817
E7.5:injection10:clone_683,1,0,9,Acvr2a,13.408494,5.9823856
E7.5:injection10:clone_684,0,2,7,Fgfr1,8.850584,11.273461
E7.5:injection10:clone_685,0,11,16,Lgr4,8.413045,10.048549
E7.5:injection10:clone_686,1,0,9,Lgr4,12.706582,7.518215
E7.5:injection10:clone_687,4,3,5,Fzd2,13.177096,5.3192844
E7.5:injection10:clone_688,4,3,13,Lrp2,13.47835,5.0916667
E7.5:injection10:clone_689,4,3,5,EGFP-1,13.081817,5.3336535
E7.5:injection10:clone_690,5,8,4,Fzd2,8.627079,2.3407776
E7.5:injection10:clone_691,0,2,16,Fgfr1,8.92847,9.888964
E7.5:injection10:clone_692,4,3,5,Fgfr1,12.6322365,4.608807
E7.5:injection10:clone_693,4,3,13,Fgfr1,13.757283,3.5864747
E7.5:injection10:clone_694,4,3,5,Acvr2a,12.356076,3.4914734
E7.5:injection10:clone_695,4,3,13,Acvr2a,13.45641,3.7206178
E7.5:injection10:clone_696,1,0,11,Fgfr1,12.641348,7.4187913
E7.5:injection10:clone_698,0,5,3,Fzd2,7.4172997,11.037425
E7.5:injection10:clone_699,4,3,5,Lgr4,12.374454,3.5838912
E7.5:injection10:clone_700,1,0,9,EGFP-1,13.495947,7.2712517
E7.5:injection10:clone_701,4,3,5,Lgr4,11.993186,3.9938855
E7.5:injection10:clone_702,1,0,10,Fgfr1,12.774623,5.86012
E7.5:injection10:clone_703,0,5,3,Acvr2a,8.21057,11.7697
E7.5:injection10:clone_704,0,2,7,Lrp2,9.062884,12.115471
E7.5:injection10:clone_705,1,0,10,multi_gRNA,12.394727,5.875346
E7.5:injection10:clone_707,2,1,1,Acvr2a,12.769027,0.26915228
E7.5:injection10:clone_708,1,0,9,Lrp2,13.405106,6.936361
E7.5:injection10:clone_709,2,1,1,multi_gRNA,12.790174,-0.06969043
E7.5:injection10:clone_710,0,2,7,Fgfr1,9.192185,10.863904
E7.5:injection10:clone_711,0,2,6,Lgr4,9.425603,10.530192
E7.5:injection10:clone_712,1,0,9,Lrp2,14.277872,7.2122374
E7.5:injection10:clone_713,0,2,7,NA,9.283017,11.860468
E7.5:injection10:clone_714,1,0,9,EGFP-1,14.121933,6.223358
E7.5:injection10:clone_715,2,1,1,Lrp2,12.4398365,0.39738527
E7.5:injection10:clone_716,0,5,3,Acvr2a,7.4536905,11.5679
E7.5:injection10:clone_717,2,1,1,Lrp2,10.472461,1.9699745
E7.5:injection10:clone_719,0,2,6,multi_gRNA,10.392564,10.688322
E7.5:injection10:clone_720,4,3,13,Acvr2a,13.851094,3.9192564
E7.5:injection10:clone_723,0,2,6,Acvr2a,10.006852,10.104225
E7.5:injection10:clone_724,4,3,13,Fgfr1,13.145086,3.1935587
E7.5:injection10:clone_725,1,0,11,Fzd2,11.291214,6.817336
E7.5:injection10:clone_726,4,3,5,Acvr2a,11.987499,4.641039
E7.5:injection10:clone_727,4,3,5,multi_gRNA,12.345022,3.573173
E7.5:injection10:clone_728,1,0,13,Fzd2,13.501538,5.752212
E7.5:injection10:clone_729,6,7,8,Lgr4,-1.1339223,1.8601458
E7.5:injection10:clone_730,1,0,10,Lgr4,12.529729,5.703102
E7.5:injection10:clone_733,4,3,13,Fzd2,13.576293,3.4454744
E7.5:injection10:clone_735,0,5,3,Lrp2,7.763769,12.16207
E7.5:injection10:clone_736,1,0,2,EGFP-1,13.183996,8.764775
E7.5:injection10:clone_737,1,0,9,Lgr4,12.786671,7.231733
E7.5:injection10:clone_738,4,0,10,Lrp2,13.008134,5.804573
E7.5:injection10:clone_741,1,0,10,EGFP-1,12.675786,6.1518207
